"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2020;1;24;24/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.50";"15.50";"57.00";"21.00";"34.00";"15.80";"0.00";"4.00";"0.00";"6.30"
2020;1;25;25/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.70";"12.10";"62.00";"22.00";"35.00";"16.00";"0.00";"11.00";"0.00";"6.20"
2020;1;25;25/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.50";"12.50";;;;"0.00";"0.00";"0.00";"0.00";"6.91"
2020;1;26;26/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.80";"9.60";"44.00";"22.00";"31.00";"9.00";"0.00";"11.00";"0.00";"6.71"
2020;1;26;26/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"33.00";"11.70";;;;"0.00";"0.00";"0.00";"0.00";"7.38"
2020;1;27;27/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.00";"15.70";"67.00";"32.00";"49.00";"22.00";"9.00";"15.00";"6.00";"5.24"
2020;1;27;27/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"14.00";"64.00";"26.00";"42.00";"40.80";"3.70";"8.00";"8.00";"6.05"
2020;1;28;28/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.10";"14.60";"60.00";"27.00";"40.00";"13.00";"0.00";"13.00";"0.00";"6.00"
2020;1;28;28/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.50";"14.40";"61.00";"27.00";"39.00";"3.70";"0.00";"16.00";"0.00";"6.97"
2020;1;29;29/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.80";"13.20";"63.00";"37.00";"46.00";"26.00";"5.00";"10.00";"2.00";"5.53"
2020;1;29;29/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"14.50";"65.00";"29.00";"49.00";"15.80";"0.00";"16.00";"0.00";"6.54"
2020;1;30;30/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.20";"14.20";;;;;;;;"4.93"
2020;1;30;30/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.80";"15.00";"66.00";"44.00";"53.00";"0.00";"0.00";"0.00";"0.00";"5.56"
2020;1;31;31/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"18.40";"23.60";"12.60";;;;;;;;"4.72"
2020;1;31;31/01/20;"Sarco";-66,175556;-17,384167;2587;"24.40";"27.50";"11.10";"83.00";"44.00";"58.00";"3.70";"0.00";"16.00";"0.00";"5.95"
2020;2;1;01/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.10";"28.20";"14.80";"49.00";"36.00";"43.00";"7.00";"5.00";"13.00";"10.00";"5.69"
2020;2;1;01/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.50";"14.40";;;;;;;;"6.11"
2020;2;2;02/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.10";"29.00";"16.00";"72.00";"34.00";"50.00";"11.00";"5.00";"13.00";"4.00";"5.74"
2020;2;2;02/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.20";"15.50";;;;;;;;"6.73"
2020;2;3;03/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"5.40";"22.50";"13.60";"90.00";"56.00";"73.00";"9.00";"0.00";"12.00";"0.00";"4.22"
2020;2;3;03/02/20;"Sarco";-66,175556;-17,384167;2587;"17.50";"25.50";"12.80";"84.00";"39.00";"66.00";"0.00";"0.00";"0.00";"0.00";"5.20"
2020;2;4;04/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.10";"29.80";"13.80";"78.00";"33.00";"50.00";"11.00";"0.00";"12.00";"0.00";"6.24"
2020;2;4;04/02/20;"Sarco";-66,175556;-17,384167;2587;"1.50";"32.00";"13.30";"69.00";"30.00";"44.00";"3.70";"0.00";"14.00";"0.00";"6.89"
2020;2;5;05/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.50";"15.80";"66.00";"35.00";"46.00";"11.00";"5.00";"15.00";"11.00";"5.89"
2020;2;5;05/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.50";"15.50";"52.00";"36.00";"42.00";"3.70";"0.00";"14.00";"0.00";"6.50"
2020;2;6;06/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.20";"15.60";"64.00";"42.00";"53.00";"15.00";"5.00";"15.00";"5.00";"4.95"
2020;2;6;06/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"15.00";"81.00";"54.00";"68.00";"0.00";"0.00";"0.00";"0.00";"5.85"
2020;2;7;07/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"4.70";"27.00";"14.20";"83.00";"45.00";"59.00";"13.00";"0.00";"14.00";"0.00";"5.39"
2020;2;7;07/02/20;"Sarco";-66,175556;-17,384167;2587;"5.30";"28.00";"13.30";"78.00";"39.00";"59.00";"15.80";"0.00";"12.00";"0.00";"5.79"
2020;2;8;08/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"8.40";"21.50";"13.80";"94.00";"69.00";"77.00";"18.00";"0.00";"15.00";"0.00";"3.86"
2020;2;8;08/02/20;"Sarco";-66,175556;-17,384167;2587;"12.30";"23.90";"12.80";;;;;;;;"4.72"
2020;2;9;09/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"4.90";"20.60";"13.80";"97.00";"65.00";"83.00";"7.00";"0.00";"14.00";"0.00";"3.57"
2020;2;9;09/02/20;"Sarco";-66,175556;-17,384167;2587;"14.60";"21.50";"13.30";;;;;;;;"3.94"
2020;2;10;10/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"6.40";"21.50";"13.40";"90.00";"55.00";"72.00";"22.00";"0.00";"12.00";"0.00";"3.92"
2020;2;10;10/02/20;"Sarco";-66,175556;-17,384167;2587;"4.40";"23.00";"12.80";"86.00";"54.00";"71.00";"15.80";"0.00";"2.00";"0.00";"4.45"
2020;2;11;11/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.20";"22.30";"14.00";"96.00";"52.00";"73.00";"13.00";"0.00";"15.00";"0.00";"4.04"
2020;2;11;11/02/20;"Sarco";-66,175556;-17,384167;2587;"5.50";"23.50";"12.50";"83.00";"48.00";"71.00";"0.00";"0.00";"0.00";"0.00";"4.63"
2020;2;12;12/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.50";"25.50";"13.80";"94.00";"45.00";"66.00";"11.00";"0.00";"16.00";"0.00";"4.99"
2020;2;12;12/02/20;"Sarco";-66,175556;-17,384167;2587;"1.30";"25.00";"13.00";"76.00";"49.00";"63.00";"0.00";"0.00";"0.00";"0.00";"4.96"
2020;2;13;13/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.30";"28.10";"13.70";"92.00";"41.00";"58.00";"29.00";"0.00";"12.00";"0.00";"5.71"
2020;2;13;13/02/20;"Sarco";-66,175556;-17,384167;2587;"0.60";"29.50";"13.50";"78.00";"47.00";"59.00";"0.00";"0.00";"0.00";"0.00";"6.11"
2020;2;14;14/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.20";"13.20";"82.00";"38.00";"53.00";"9.00";"0.00";"15.00";"0.00";"5.52"
2020;2;14;14/02/20;"Sarco";-66,175556;-17,384167;2587;"1.30";"29.00";"12.20";"72.00";"35.00";"51.00";"15.80";"0.00";"2.00";"0.00";"6.11"
2020;2;15;15/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;;"27.80";;"46.00";"37.00";"41.00";"13.00";"5.00";"14.00";"7.00";
2020;2;15;15/02/20;"Sarco";-66,175556;-17,384167;2587;"0.20";"27.80";"12.80";;;;"0.00";"0.00";"0.00";"0.00";"5.71"
2020;2;16;16/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.40";"13.60";"60.00";"30.00";"40.00";"15.00";"0.00";"15.00";"0.00";"6.04"
2020;2;16;16/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.00";"13.90";;;;;;;;"6.70"
2020;2;17;17/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.20";"30.00";"16.10";"64.00";"26.00";"41.00";"18.00";"0.00";"14.00";"0.00";"5.87"
2020;2;17;17/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"13.00";"60.00";"31.00";"41.00";"15.80";"0.00";"16.00";"0.00";"6.51"
2020;2;18;18/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.20";"16.40";"69.00";"43.00";"56.00";"22.00";"0.00";"13.00";"0.00";"5.01"
2020;2;18;18/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"16.70";"65.00";"40.00";"49.00";"9.30";"0.00";"12.00";"0.00";"5.49"
2020;2;19;19/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"11.40";"25.10";"14.40";"97.00";"45.00";"63.00";"7.00";"0.00";"11.00";"0.00";"4.72"
